index,area,axon_rad_loc,d,fiberD_p,fiberType,new_angle,orig_angle,r,tjn_x,tjn_y,tjn_z,type,x,y,z,soma_x,soma_y,soma_z,xshift
1933,6568.0145393140565,515.8144229998355,91.44755788,18.3,Aa,313.57785707739015,290.26002756435935,45.72377894,-752.6169879,258.9596036649937,-446.0991399,soma,-752.6169879,-342.8485372,126.55167731494612,-753,-342.7763055,126.61790082265293,
1934,6568.0145393140565,1269.2443262211973,91.44755788,18.3,Aa,358.36368307594444,211.99154024891743,45.72377894,1002.538448036022,-236.5294051,-1247.010425,soma,1002.538448036022,-260.2509186,-416.6254019,1003,-260.7587001,-416.6085106,
1935,5570.471313448604,1191.0817910791638,84.21724502,15.7,Aa,319.7021994560404,65.44894133926185,42.10862251,1744.5401187830055,1136.6446470793835,-355.9701944,soma,1744.5401187830055,601.7034592476039,274.85989285359574,1745,602.026143,274.8357463891399,
1936,4893.428034248543,218.97387133673615,78.93355485800001,13.8,Aa,192.8477764888487,205.5719472201438,39.466777429000004,-417.866241,-216.6241853,-31.99247828,soma,-417.866241,-399.9539005,-835.8181326,-418,-400.3614113,-835.855108,
1937,5244.300221551238,861.6941971662503,81.71444442,14.8,Aa,93.04282214856552,31.363723433586394,40.85722221,-349.8970339,-380.0177687,773.3714404605644,soma,-349.8970339,444.6751109714173,729.5330356922722,-350,444.70102209790764,729.1469815,
1938,4927.968614909078,448.7070152254623,79.21164381,13.9,Aa,123.46110347193472,95.55298363726568,39.60582191,207.7438965465925,265.1236358429669,362.0047558,soma,207.7438965465925,953.0595565882576,-92.65877964,208,952.9686372170104,-92.6876502,
1939,5982.487134138873,645.3259757591136,87.27622353800001,16.8,Aa,71.69456289132802,114.63369697810396,43.638111769000005,128.60826273186322,48.984492097090886,-643.4641672,soma,128.60826273186322,835.6899331353316,-383.2033955,129,835.7090233134888,-382.7247691,
1940,5244.300221551238,556.4799418282157,81.71444442,14.8,Aa,191.55837160850209,176.9809465,40.85722221,575.712632,234.75727116460166,-504.5383526,soma,575.712632,69.28343472746428,-1313.648086,576,69.49821266931636,-1314.092321,
1941,4962.6306706962205,345.6506274740122,79.48973277,14,Aa,327.70819638054667,336.6767454,39.74486639,-1229.310809,-8.964530086,345.5343593240937,soma,-1229.310809,-449.5691561,1042.7227543366234,-1229,-449.5787076,1043.1568355552408,
1942,6058.978278182998,623.1334666448831,87.83240144999998,17,Aa,57.19331937624636,13.881159310736455,43.91620073,-393.0905334,-490.8553235,383.87024977312564,soma,-393.0905334,205.85159072804024,832.9821996412503,-393,205.7040667093628,833.1067975528051,
1943,5032.319207650329,1247.7196593777835,80.04591068,14.2,Aa,335.97912631720277,221.9293408784474,40.02295534,428.0197143468725,-104.0813315,-1243.370992,soma,428.0197143468725,-439.9229589,-489.7973211,428,-439.8668451,-489.4240326,
1944,4324.823857390372,736.9904675173967,74.20604261,12.1,Aa,12.291617511257794,347.6425373725163,37.1030213,641.7751515704317,-474.5378358,563.8872153289099,soma,641.7751515704317,-299.522428,1367.1449477284586,642,-299.9742668,1367.2768621151615,
1945,5793.385088744183,334.3099137270196,85.88577876,16.3,Aa,139.42667106057243,163.2138386461421,42.94288938,743.3325465944605,-315.1897248,-111.4385742,soma,743.3325465944605,223.3214752286417,-740.3225981,743,223.4940552521017,-739.9054188,
1946,5718.594596472561,940.2963867205807,85.32960085,16.1,Aa,211.6328437430823,171.82202436885473,42.66480042,-290.7000914,635.0195887129794,-693.4748855,soma,-290.7000914,200.93087339294425,-1398.170571,-291,200.88981217813642,-1397.673811,
1947,5388.050400017324,1281.625697281104,82.82680024199999,15.2,Aa,62.383003340650255,157.19067300391532,41.41340012,-747.3055831,-378.4044922,-1224.489472,soma,-747.3055831,353.8524100291793,-841.3981817,-747,354.28491384721826,-840.8747477,
1948,4655.045273169799,473.7923440022574,76.98693217,13.1,Aa,27.365338849590522,59.14732718727455,38.49346608,172.21634736575473,386.1320224,-274.5564542,soma,172.21634736575473,764.6611829621457,456.78284006674494,172,764.5599463583551,456.3445472283124,
1949,4554.703359606593,842.1368820335681,76.1526653,12.8,Aa,313.8837548910392,26.143974022603377,38.07633265,1084.0938777073738,839.2829043349752,-69.27289926,soma,1084.0938777073738,246.0525443345077,501.28155855931533,1084,245.80888705986558,501.5565138,
1950,5681.381563026659,695.1713569838272,85.05151189,16,Aa,120.44060187768764,66.60405937992904,42.52575595,-423.0847718,-88.94872207,689.4572796,soma,-423.0847718,624.5066291264702,270.1956207,-423,624.4927067757792,269.7754520382628,
1951,6135.9553227335555,1269.2391945538425,88.38857936,17.2,Aa,346.23210272556474,226.1756121707404,44.19428968,508.44263870400476,-258.2945807,-1242.67938,soma,508.44263870400476,-455.6339454,-437.3096857,508,-455.3482409,-437.6035864,
1952,6891.471533722045,801.4469592894711,93.67226952600001,19.1,Aa,137.68723944682787,72.74898578377761,46.836134763000004,-1692.218361,37.24818739418789,800.5809147676372,soma,-1692.218361,597.2213264,185.4537419848334,-1692,596.9920859224518,185.85717834276124,
1953,4722.547257844975,1383.5306518737345,77.54311007800001,13.3,Aa,279.36023469218253,58.45038639297284,38.771555039000006,182.21671880075039,1367.9740391486266,206.89150028348968,soma,182.21671880075039,555.1707733456433,340.8707001,182,555.1846066430184,340.94525484934144,
1954,5208.666364751234,1346.7121564234903,81.43635546,14.7,Aa,3.2146242342199067,84.16073801200386,40.71817773,464.5474467702524,1149.1765257098084,-702.1587748,soma,464.5474467702524,1195.4797841316813,122.2601219444623,465,1195.322789770709,122.39702864663059,
1955,6809.878434,1237.8667922487225,93.11609161,18.9,Aa,354.35814766930963,70.64612920673174,46.55804581,-249.8963863,1152.6361313517873,-451.3802655,soma,-249.8963863,1070.8857859053996,376.1495917,-250,1071.257844097172,376.56656718712657,
1956,4893.428034248543,593.7896900728488,78.93355485800001,13.8,Aa,126.43049693352215,145.1066942818623,39.466777429000004,1486.0723518237735,87.70955656201477,-587.2761103,soma,1486.0723518237735,751.0572416077675,-1076.883418,1486,751.3659691193735,-1076.568372,
1957,5460.654340010015,666.0929185821664,83.38297815,15.4,Aa,200.26220844962532,184.83217755609246,41.69148908,639.6801109298483,166.2063010897191,-645.0234427,soma,639.6801109298483,-120.0909796,-1420.557249,640,-120.2832627,-1420.519286,
1958,5868.6614815222365,1075.9366442342546,86.44195667,16.5,Aa,175.3157829835185,71.46084600780225,43.22097834,782.1701224485063,422.08978025097167,989.6867584310477,soma,782.1701224485063,489.7255907,164.2321043,782,489.6656539299695,164.51215089350535,
1959,5681.381563026659,1371.0501029337645,85.05151189,16,Aa,280.75706465217814,350.2550111957779,42.52575595,-168.7754995,572.5023385585669,1245.8007292900654,soma,-168.7754995,-240.4816313,1400.254416458959,-169,-239.9613026,1400.416306059337,
1960,5280.055553,530.0072561026336,81.99253337399999,14.9,Aa,95.29569770095688,120.55607217156502,40.996266686999995,-860.4093197,161.65109981313438,-504.7540128,soma,-860.4093197,984.12171,-580.9900147,-860,984.4444827402461,-581.2394554,
1961,4722.547257844975,897.172674,77.54311007800001,13.3,Aa,266.28564001215136,193.50772661894715,38.771555039000006,1889.3176551158679,664.3883536042649,-602.9153527,soma,1889.3176551158679,-157.6527978,-656.2812617,1889,-158.0416348,-656.3803968,
1962,4927.968614909078,488.8455070906263,79.21164381,13.9,Aa,249.89220145211436,218.67511648903172,39.60582191,-1602.847421,185.35711570135757,-452.3413196,soma,-1602.847421,-588.9868933,-735.8305034,-1603,-589.3048668,-735.4994816,
1963,6097.406062894975,1240.0284396779366,88.11049041,17.1,Aa,176.88458842836042,116.58000483978664,44.0552452,293.9970049549236,1225.0145038139162,192.37982393079162,soma,293.9970049549236,1270.0715009157802,-635.4501505,294,1270.017699814523,-635.8116623,
1964,4422.6147932948215,699.5433000984673,75.04030947,12.4,Aa,352.27983593911154,294.0695485943483,37.52015474,-1184.644923,-307.0454897,-628.556995,soma,-1184.644923,-417.5386797,186.5078244753349,-1185,-417.4644568,186.0352213288935,
1965,5102.493645110871,483.1153601739003,80.60208859400001,14.4,Aa,248.82246902344917,213.47642172840602,40.3010443,675.9010909699093,438.94440122355815,-201.8124473,soma,675.9010909699093,-330.6203857,-499.9598142,676,-330.5932238,-500.1812673,
1966,5570.471313448604,508.3039511602478,84.21724502,15.7,Aa,256.0674242074683,293.20089365373786,42.10862251,-335.1341106,284.23188742063667,421.4085202489649,soma,-335.1341106,-518.5429859,222.25738124685452,-335,-518.791629,221.83224369935115,
1967,5424.291632450366,1057.612197271124,83.1048892,15.3,Aa,25.103866505890064,102.23890186122307,41.5524446,-552.1403936,498.6093662246476,-932.701592,soma,-552.1403936,849.2829465198456,-184.2251503,-552,849.7062022433558,-184.5567614,
1968,4588.029189001052,760.6334707951546,76.43075425,12.9,Aa,6.412042883007865,333.7717805351514,38.21537713,302.8322995,-671.2388791,357.7731740298127,soma,302.8322995,-579.3039905,1175.8389008424201,303,-579.0468424,1176.0291202511003,
1969,4455.4547221828525,989.1737149865356,75.31839843,12.5,Aa,300.78389755414037,187.5602977963004,37.65919922,-651.15963,665.5004256516418,-731.8290934,soma,-651.15963,-41.24919208,-310.790929,-651,-40.74651805,-310.9630218,
1970,4038.0107065138263,310.11756127955937,71.703242,11.2,Aa,203.72090682488286,218.44602247137615,35.851621,-1505.768687,-306.066789,-49.96020883,soma,-1505.768687,-636.280513,-801.4628902,-1506,-636.2286071,-801.489659,
1971,5570.471313448604,752.0400288688053,84.21724502,15.7,Aa,143.42209019669846,189.1929249022756,42.10862251,-250.9829394,-511.0992027,551.6718318223789,soma,-250.9829394,-18.21251394,-112.5355044,-251,-18.12597185,-112.1682239,
1972,4962.6306706962205,1095.6827900923304,79.48973277,14,Aa,323.4166350103965,209.19627701699616,39.74486639,864.1585306659223,267.93608067436253,-1062.417542,soma,864.1585306659223,-223.6050665,-400.1552107,864,-223.5479404,-399.7298723,
1973,5830.962547569905,461.0034730729754,86.16386771399998,16.4,Aa,111.2488888843133,130.69665577194098,43.081933856999996,703.8567567849134,100.34702264498536,-449.9496386,soma,703.8567567849134,872.1317215,-750.0630633,704,871.7723623547242,-750.0968928,
1974,4722.547257844975,510.4272549715672,77.54311007800001,13.3,Aa,102.36469231693209,64.07754257,38.771555039000006,687.5035349799739,-226.7545211,457.29462031988623,soma,687.5035349799739,577.9091752305138,280.8975946042933,688,577.6600549620955,280.6305101,
1975,5424.291632450366,547.1821507161668,83.1048892,15.3,Aa,79.36746841905187,102.92667660058498,41.5524446,1505.6115414535186,-499.0432141,-224.4196438,soma,1505.6115414535186,313.3179418345398,-71.91293571,1506,313.3357425518975,-71.50107397,
1976,6213.418267790545,447.8308690578499,88.94475727,17.4,Aa,79.74162630597081,96.21803038484659,44.47237864,-452.3891953,353.3380776054528,-275.1448531,soma,-452.3891953,1169.5510756261901,-127.4263073,-452,1169.2008205788084,-127.2709694,
1977,4038.0107065138263,1130.567520732505,71.703242,11.2,Aa,197.6771969071451,99.35662513954544,35.851621,231.24989521925454,908.0303318210373,673.5457188849323,soma,231.24989521925454,658.7755456174309,-108.5472649,231,658.7073627019962,-108.1074245,
1978,6291.367113353963,726.0890894,89.50093519,17.6,Aa,358.0746344178389,306.88123212416326,44.75046759,-1387.02519,-652.2858431,-318.9491255,soma,-1387.02519,-680.1635044,510.3328980216234,-1387,-679.8796157,510.2526173124444,
1979,5906.481890601173,1281.6237482977474,86.72004563,16.6,Aa,325.37565629031565,41.05941277275506,43.36002281,-439.9927861,1261.5048721929907,226.1965729937447,soma,-439.9927861,790.8361526797994,907.8499188129864,-440,791.3258350376532,907.6574627728179,
1980,5718.594596472561,1112.203241,85.32960085,16.1,Aa,237.8487876877593,316.64248537212933,42.66480042,-141.2773048,68.42287489204591,1110.0965541086234,soma,-141.2773048,-632.3167197,669.6501414959821,-141,-632.70102,669.5167932148793,
1981,4688.7355279440835,982.6061501675946,77.26502112200002,13.2,Aa,0.3187366310284201,127.67807074183348,38.63251056,1564.2086081988214,179.80248865511476,-966.015482,soma,1564.2086081988214,184.38433569184917,-142.3957159,1564,184.6123420591416,-142.3674894,
1982,5280.055553,1051.6051512342328,81.99253337399999,14.9,Aa,182.85144344676965,71.90786729027495,40.996266686999995,832.8293029953493,439.78830457366763,955.2275337649104,soma,832.8293029953493,398.69785189473936,130.25395401856304,833,398.9479855456561,129.99492883302412,
1983,5460.654340010015,1374.8819685552085,83.38297815,15.4,Aa,88.43480102831755,159.49520229520382,41.69148908,-434.3843581,-336.264934,-1333.126521,soma,-434.3843581,490.11810827774116,-1310.545875,-434,490.3608124813695,-1310.431322,
1984,4790.535143026577,871.8803050569411,78.09928799,13.5,Aa,130.65970928514642,89.76072636637596,39.049644,4.462525998,682.6386605698854,542.3833749678702,soma,4.462525998,1307.7567115197846,5.461371186235738,4,1308.1240599346072,5.049251973,
1985,4722.547257844975,1086.2126281765832,77.54311007800001,13.3,Aa,166.0633989665743,333.55144967675125,38.771555039000006,1713.0071736784037,-317.4326023,1038.794694,soma,1713.0071736784037,-119.0287922,239.27264753360402,1713,-118.6358095,239.44732867914627,
1986,4997.414202,482.6534437571506,79.76782172600001,14.1,Aa,7.859670685,354.4992240484925,39.883910863000004,1227.5281604977172,-232.2392931,423.10667389783475,soma,1227.5281604977172,-119.4386349,1240.241594150184,1228,-119.2383694,1240.130002100888,
1987,5351.930642710891,333.50869479634105,82.54871129,15.1,Aa,189.34724535032302,198.2006750892483,41.27435564,1183.101683469008,-217.1070333,-253.165135,soma,1183.101683469008,-351.3084603,-1068.468323,1183,-351.1869554,-1068.284907,
1988,5424.291632450366,557.6760005466874,83.1048892,15.3,Aa,298.23949771751165,300.01717647657074,41.5524446,-952.8701874,495.19435612384905,-256.486006,soma,-952.8701874,-232.9797358,134.6040547276925,-953,-233.1927037,135.12461678424694,
1989,5032.319207650329,1025.9063735415357,80.04591068,14.2,Aa,37.72679879807811,177.5176308768395,40.02295534,211.06089226501967,-494.1419147,-899.0593169,soma,211.06089226501967,10.687197906906476,-246.5177904,211,10.831546373158005,-246.4893446,
1990,4621.476493522122,642.3372614838082,76.70884321,13,Aa,105.47538650276466,54.876985622392404,38.35442161,-392.1836501,-438.3791484,469.49002087371855,soma,-392.1836501,355.1246955338729,249.7989806176465,-392,355.46665610073865,249.32904031578596,
1991,5497.138523,1024.1847187916253,83.66106711,15.5,Aa,50.12835030489831,358.55581277549265,41.83053356,-800.1488603,-667.5244312,776.7660342,soma,-800.1488603,-32.94650669,1306.8222471574836,-800,-33.4075655,1307.0810550621106,
1992,5032.319207650329,1037.570045810168,80.04591068,14.2,Aa,185.2409097237091,112.63661940764807,40.02295534,-261.8283662,926.7705694479904,466.5275035488921,soma,-261.8283662,851.4099796628561,-355.0463874,-262,851.6754041773667,-354.5578589,
1993,4756.480462872472,1105.4794434129165,77.82119903,13.4,Aa,166.60404336807466,303.10944527825706,38.91059952,1622.3721987944275,-485.0988963,993.3598847489592,soma,1622.3721987944275,-294.2159032,191.8660551128205,1622,-294.0999141,191.4997687898623,
1994,6135.9553227335555,600.7141400212904,88.38857936,17.2,Aa,341.1576230741145,6.009729908,44.19428968,-1342.316066,397.8044596913937,450.12119464779335,soma,-1342.316066,130.0030917590325,1234.879499715751,-1342,130.17024443303694,1234.7494757540985,
