index,drg,drgnum,ePos,eType,fiberD_c,fiberD_p,fiberType,ground,neckAngle,neckD,nodes,phase,polarity,pw,scatterType,scatter_d,scatter_x,scatter_y,scatter_z,shift,soma_x,soma_y,soma_z,spikeOrigin,spikeT,status,thresh,timestep,tjnPos,tjn_x,tjn_y,tjn_z,x_spike,xshift,y_spike,z_spike
3480,realistic,3,xp0_75,utah,9.857,12.1,Aa,saline,297.28569194352474,12.1,,b,-1,0.08,soma,74.206042606,-58.97277511855337,-40.63834468142613,22.864564042958136,,-59.0,-40.60295503197631,22.8520249652953,periphery,5.275000000000125,success,78.11279296875,0.005,"(-59, 690, -354)",-59.0,690.0,-354.0,-59.0,,690.0,-354.0
3481,realistic,3,xp0_75,utah,9.074,11.2,Aa,saline,7.424104915760022,11.2,,b,-1,0.08,soma,71.703242002,-877.646832487779,18.16204092546468,1278.418391832587,,-878.0,18.054029433329234,1277.9564673845919,none,0.0,success,105.0,0.005,"(-878, -88, 464)",-878.0,-88.0,464.0,,,,
3482,realistic,3,xp0_75,utah,9.596,11.8,Aa,saline,151.86430881206147,11.8,,b,-1,0.08,soma,73.371775738,38.08106359982922,608.6568943850216,-1083.252653279626,,38.0,608.5070647190205,-1083.5626159228846,none,0.0,success,105.0,0.005,"(38, 221, -359)",38.0,221.0,-359.0,,,,
3483,realistic,3,xp0_75,utah,13.163,15.9,Aa,saline,116.23225482823923,15.9,,b,-1,0.08,soma,84.773422934,1054.5666217173489,554.9288335974497,-278.21000285156606,,1055.0,555.1658801858991,-277.7049264684141,periphery,5.400000000000144,success,85.58349609375,0.005,"(1055, -187, 88)",1055.0,-187.0,88.0,1055.0,,-187.0,88.0
3484,realistic,3,xp0_75,utah,10.466000000000001,12.8,Aa,saline,198.09470605351697,12.8,,b,-1,0.08,soma,76.152665298,219.9632384894512,-624.5276477679176,-1240.4418459595267,,220.0,-624.6475089207795,-1240.3340541828748,none,0.0,success,105.0,0.005,"(220, -369, -458)",220.0,-369.0,-458.0,,,,
3485,realistic,3,xp0_75,utah,8.987,11.1,Aa,saline,37.75663717077861,11.1,,b,-1,0.08,soma,71.42515304599999,-1511.4174223644775,618.2746140331087,917.2863075784776,,-1511.0,618.522310605033,916.855362999084,none,0.0,success,105.0,0.005,"(-1511, 116, 268)",-1511.0,116.0,268.0,,,,
3486,realistic,3,xp0_75,utah,13.685,16.5,Aa,saline,71.63915075801205,16.5,,b,-1,0.08,soma,86.44195667,-598.2442534181628,406.55609336271255,116.33524910102324,,-598.0,406.06453053774874,115.88960817552504,none,0.0,success,105.0,0.005,"(-598, -380, -145)",-598.0,-380.0,-145.0,,,,
3487,realistic,3,xp0_75,utah,14.293999999999999,17.2,Aa,saline,132.532182271449,17.2,,b,-1,0.08,soma,88.388579362,1675.9062578384626,357.0638105802691,-348.0525463631402,,1676.0,357.03327206592905,-348.53533982435613,none,0.0,success,105.0,0.005,"(1676, -254, 212)",1676.0,-254.0,212.0,,,,
3488,realistic,3,xp0_75,utah,13.511000000000001,16.3,Aa,saline,84.12469048305466,16.3,,b,-1,0.08,soma,85.885778758,714.2731909061473,35.540894378882506,4.751522539056623,,714.0,35.55479206529151,4.78135187240963,none,0.0,success,105.0,0.005,"(714, -788, -80)",714.0,-788.0,-80.0,,,,
3489,realistic,3,xp0_75,utah,13.337000000000002,16.1,Aa,saline,128.72432593104537,16.1,,b,-1,0.08,soma,85.329600846,-694.1261925188022,396.3433070130568,-415.1277669867436,,-694.0,396.74407729002473,-414.787099144629,none,0.0,success,105.0,0.005,"(-694, -249, 103)",-694.0,-249.0,103.0,,,,
3490,realistic,3,xp0_75,utah,10.118,12.4,Aa,saline,89.23860263416296,12.4,,b,-1,0.08,soma,75.040309474,-512.4945458719599,1431.4984053185271,140.94544314750556,,-512.0,1431.4379027215264,140.9395180580021,periphery,5.160000000000107,success,17.0989990234375,0.005,"(-512, 609, 130)",-512.0,609.0,130.0,-512.0,,609.0,130.0
3491,realistic,3,xp0_75,utah,14.555,17.5,Aa,saline,83.8768571868478,17.5,,b,-1,0.08,soma,89.22284623,-4.756441473376283,479.4058225826384,17.556397651590487,,-5.0,479.88263800324467,17.519538846370523,none,0.0,success,105.0,0.005,"(-5, -345, -71)",-5.0,-345.0,-71.0,,,,
3492,realistic,3,xp0_75,utah,12.902,15.6,Aa,saline,175.0284977662877,15.6,,b,-1,0.08,soma,83.93915606600001,-1130.235895284327,12.014072949355068,-135.35529589020823,,-1130.0,11.69826241546113,-134.82709363647484,none,0.0,success,105.0,0.005,"(-1130, -60, 689)",-1130.0,-60.0,689.0,,,,
3493,realistic,3,xp0_75,utah,14.99,18.0,Aa,saline,93.6008067692625,18.0,,b,-1,0.08,soma,90.61329101,-877.5322429980013,491.97177924172007,-59.42221689365897,,-878.0,491.6460322139902,-59.14325733771401,none,0.0,success,105.0,0.005,"(-878, -337, -7)",-878.0,-337.0,-7.0,,,,
3494,realistic,3,xp0_75,utah,12.119,14.7,Aa,saline,2.374148334596444,14.7,,b,-1,0.08,soma,81.436355462,-763.0269312143132,5.5238863341669475,116.96542148234768,,-763.0,5.184732558063409,116.97503137104229,none,0.0,success,105.0,0.005,"(-763, -29, -708)",-763.0,-29.0,-708.0,,,,
3495,realistic,3,xp0_75,utah,12.988999999999999,15.7,Aa,saline,23.70705707782938,15.7,,b,-1,0.08,soma,84.217245022,1565.736801064953,17.408069551155222,53.467551195199576,,1566.0,17.580377111673215,53.30065477107178,none,0.0,success,105.0,0.005,"(1566, -315, -704)",1566.0,-315.0,-704.0,,,,
3496,realistic,3,xp0_75,utah,10.727,13.1,Aa,saline,98.92905821146971,13.1,,b,-1,0.08,soma,76.986932166,1465.4462464825315,289.22097037920554,-25.587336679164768,,1465.0,289.5291951433959,-25.806185936081633,none,0.0,success,105.0,0.005,"(1465, -524, 102)",1465.0,-524.0,102.0,,,,
3497,realistic,3,xp0_75,utah,14.12,17.0,Aa,saline,84.05478522018701,17.0,,b,-1,0.08,soma,87.83240144999998,-1732.047065615655,296.8340684977475,2.3744849277131834,,-1732.0,296.44005324108537,2.8757183951100274,none,0.0,success,105.0,0.005,"(-1732, -528, -83)",-1732.0,-528.0,-83.0,,,,
3498,realistic,3,xp0_75,utah,13.076,15.8,Aa,saline,128.50037131903414,15.8,,b,-1,0.08,soma,84.495333978,-1354.3847461346782,165.55812032807762,-151.05709641369458,,-1354.0,165.40402418559154,-150.96167270065268,none,0.0,success,105.0,0.005,"(-1354, -482, 364)",-1354.0,-482.0,364.0,,,,
3499,realistic,3,xp0_75,utah,10.466000000000001,12.8,Aa,saline,88.34721635928874,12.8,,b,-1,0.08,soma,76.152665298,-216.9628461835325,117.29580721442244,7.7316861261324465,,-217.0,117.7471021159406,7.7045983802912055,none,0.0,success,105.0,0.005,"(-217, -705, -16)",-217.0,-705.0,-16.0,,,,
3500,realistic,3,xp0_75,utah,11.248999999999999,13.7,Aa,saline,107.18603402299568,13.7,,b,-1,0.08,soma,78.655465902,-1120.9268558421613,505.74228664931206,-188.7866623069767,,-1121.0,505.5627160613857,-188.58884508702056,none,0.0,success,105.0,0.005,"(-1121, -282, 55)",-1121.0,-282.0,55.0,,,,
3501,realistic,3,xp0_75,utah,12.293000000000001,14.9,Aa,saline,104.8862821669068,14.9,,b,-1,0.08,soma,81.99253337399999,83.99996010679244,477.7957310777183,-155.70846065749447,,84.0,478.242792126317,-156.19844091189037,none,0.0,success,105.0,0.005,"(84, -320, 56)",84.0,-320.0,56.0,,,,
3502,realistic,3,xp0_75,utah,10.727,13.1,Aa,saline,339.7110307725504,13.1,,b,-1,0.08,soma,76.986932166,-888.1823034787959,-51.34561440230164,126.13540556788394,,-888.0,-51.587534037584476,126.4368711858541,none,0.0,success,105.0,0.005,"(-888, 234, -646)",-888.0,234.0,-646.0,,,,
3503,realistic,3,xp0_75,utah,11.684,14.2,Aa,saline,30.536091235616087,14.2,,b,-1,0.08,soma,80.045910682,-1357.6592807210366,329.34093928779293,581.0303865188639,,-1358.0,329.1941636087622,580.5922714352034,none,0.0,success,105.0,0.005,"(-1358, -90, -130)",-1358.0,-90.0,-130.0,,,,
3504,realistic,3,xp0_75,utah,8.9,11.0,Aa,saline,5.096553227900603,11.0,,b,-1,0.08,soma,71.14706409,-1704.287308827207,-29.678190685350273,1204.4772079988807,,-1704.0,-30.133070354403984,1204.2912379168201,none,0.0,success,105.0,0.005,"(-1704, -103, 387)",-1704.0,-103.0,387.0,,,,
3505,realistic,3,xp0_75,utah,16.642999999999997,19.9,Aa,saline,79.94250201625357,19.9,,b,-1,0.08,soma,95.89698117399999,1655.3238515553014,423.3843116607112,96.08545324889108,,1655.0,423.1210838319604,96.43280645649023,none,0.0,success,105.0,0.005,"(1655, -397, -49)",1655.0,-397.0,-49.0,,,,
3506,realistic,3,xp0_75,utah,10.64,13.0,Aa,saline,323.32108882497465,13.0,,b,-1,0.08,soma,76.70884321,-790.0286301988398,-72.82606254391203,79.52959853518905,,-790.0,-72.78959602466665,79.33024612721022,none,0.0,success,105.0,0.005,"(-790, 419, -581)",-790.0,419.0,-581.0,,,,
3507,realistic,3,xp0_75,utah,13.424,16.2,Aa,saline,66.65427872627883,16.2,,b,-1,0.08,soma,85.607689802,1322.9035437507707,225.42036198248346,88.11190362243359,,1323.0,225.0067100036083,88.05866373426636,none,0.0,success,105.0,0.005,"(1323, -535, -240)",1323.0,-535.0,-240.0,,,,
3508,realistic,3,xp0_75,utah,13.076,15.8,Aa,saline,67.27292288327924,15.8,,b,-1,0.08,soma,84.495333978,-1263.7174798791696,432.4013274471095,214.18674576018475,,-1264.0,432.0532480306538,214.56577375785076,none,0.0,success,105.0,0.005,"(-1264, -331, -105)",-1264.0,-331.0,-105.0,,,,
3509,realistic,3,xp0_75,utah,10.466000000000001,12.8,Aa,saline,137.52241798539606,12.8,,b,-1,0.08,soma,76.152665298,212.8114165653729,1114.6231788345613,-935.5244631591432,,213.0,1114.8234474378698,-935.0187953286377,periphery,5.205000000000114,success,52.69775390625,0.005,"(213, 559, -328)",213.0,559.0,-328.0,213.0,,559.0,-328.0
3510,realistic,3,xp0_75,utah,16.555999999999997,19.8,Aa,saline,141.4307995378995,19.8,,b,-1,0.08,soma,95.618892218,1868.6276725368368,24.62298795965262,-42.240232022218606,,1869.0,24.256689648961697,-42.17370591262738,none,0.0,success,105.0,0.005,"(1869, -495, 609)",1869.0,-495.0,609.0,,,,
3511,realistic,3,xp0_75,utah,9.943999999999999,12.2,Aa,saline,28.07170890279665,12.2,,b,-1,0.08,soma,74.484131562,3.3729876963495284,264.20733490661996,704.0565918151332,,3.0,263.94711615653875,704.5463988451546,none,0.0,success,105.0,0.005,"(3, -123, -21)",3.0,-123.0,-21.0,,,,
3512,realistic,3,xp0_75,utah,8.9,11.0,Aa,saline,166.37084327782551,11.0,,b,-1,0.08,soma,71.14706409,-872.5370690179483,258.8320009857244,-1371.5373380614105,,-873.0,258.32712414980205,-1371.4333584413312,none,0.0,success,105.0,0.005,"(-873, 65, -574)",-873.0,65.0,-574.0,,,,
3513,realistic,3,xp0_75,utah,12.032,14.6,Aa,saline,86.180692352098,14.6,,b,-1,0.08,soma,81.15826650599999,-1970.9400526757565,385.3703716902942,38.3333748699506,,-1971.0,385.76285915984363,37.98357027464982,none,0.0,success,105.0,0.005,"(-1971, -438, -17)",-1971.0,-438.0,-17.0,,,,
3514,realistic,3,xp0_75,utah,9.596,11.8,Aa,saline,201.3855568892357,11.8,,b,-1,0.08,soma,73.371775738,1103.0460041602955,-514.2051473547467,-1082.0090070023464,,1103.0,-514.5866747170375,-1082.0717301948262,none,0.0,success,105.0,0.005,"(1103, -215, -317)",1103.0,-215.0,-317.0,,,,
3515,realistic,3,xp0_75,utah,11.248999999999999,13.7,Aa,saline,47.17528772596122,13.7,,b,-1,0.08,soma,78.655465902,-1710.1738882341892,559.4194030227945,688.2537526734727,,-1710.0,559.5619593462636,688.37799286009,none,0.0,success,105.0,0.005,"(-1710, -45, 128)",-1710.0,-45.0,128.0,,,,
3516,realistic,3,xp0_75,utah,10.64,13.0,Aa,saline,194.62233213277787,13.0,,b,-1,0.08,soma,76.70884321,-321.7807950824712,-554.7378406708814,-1325.1969357499609,,-322.0,-554.8146560131021,-1325.6777383449983,none,0.0,success,105.0,0.005,"(-322, -347, -529)",-322.0,-347.0,-529.0,,,,
3517,realistic,3,xp0_75,utah,9.683,11.9,Aa,saline,40.11512686085431,11.9,,b,-1,0.08,soma,73.649864694,20.875425364845107,1013.709389403702,1044.3073871245397,,21.0,1013.5018039111723,1044.5317082589859,periphery,5.250000000000121,success,79.541015625,0.005,"(21, 484, 416)",21.0,484.0,416.0,21.0,,484.0,416.0
3518,realistic,3,xp0_75,utah,10.901,13.3,Aa,saline,139.9231852861548,13.3,,b,-1,0.08,soma,77.54311007800001,896.8006295451538,156.87515464756325,-193.5439351128571,,897.0,157.34412713410848,-193.34999391584302,none,0.0,success,105.0,0.005,"(897, -373, 437)",897.0,-373.0,437.0,,,,
3519,realistic,3,xp0_75,utah,8.987,11.1,Aa,saline,13.744395568988779,11.1,,b,-1,0.08,soma,71.42515304599999,464.3548985616349,109.60779647069513,1446.8704937734783,,464.0,110.00130818186486,1447.2401968344425,none,0.0,success,105.0,0.005,"(464, -85, 650)",464.0,-85.0,650.0,,,,
3520,realistic,3,xp0_75,utah,10.205,12.5,Aa,saline,53.25323638144204,12.5,,b,-1,0.08,soma,75.31839843,-597.9407802863988,1061.8632104181338,678.5787336508779,,-598.0,1062.1968163309798,678.1969988903347,periphery,5.205000000000114,success,45.22247314453125,0.005,"(-598, 403, 186)",-598.0,403.0,186.0,-598.0,,403.0,186.0
3521,realistic,3,xp0_75,utah,7.421000000000001,9.3,Aa,saline,117.05569677277865,9.3,,b,-1,0.08,soma,66.419551838,477.2491553363594,1229.0406588384121,-644.3967334936924,,477.0,1228.6976264334617,-644.2036270655533,tjn,5.170000000000108,success,47.3876953125,0.005,"(477, 500, -272)",477.0,500.0,-272.0,477.0,,500.0,-272.0
3522,realistic,3,xp0_75,utah,13.25,16.0,Aa,saline,78.89605182348298,16.0,,b,-1,0.08,soma,85.05151189,1399.7822872877548,446.9864721872786,134.51196613166576,,1400.0,447.0510243088287,134.38146059500704,none,0.0,success,105.0,0.005,"(1400, -365, -25)",1400.0,-365.0,-25.0,,,,
3523,realistic,3,xp0_75,utah,8.116999999999999,10.1,Aa,saline,-0.4876755022259502,10.1,,b,-1,0.08,soma,68.644263486,1425.2725890340655,66.68968969965908,1249.1424808338224,,1425.0,67.0357618801845,1249.3221317430002,none,0.0,success,105.0,0.005,"(1425, 74, 430)",1425.0,74.0,430.0,,,,
3524,realistic,3,xp0_75,utah,10.379,12.7,Aa,saline,124.19717539739887,12.7,,b,-1,0.08,soma,75.874576342,-527.0425130456948,1146.4398680027534,-876.960888867521,,-527.0,1146.6514310462344,-876.4907559521022,periphery,5.300000000000129,success,81.77490234375,0.005,"(-527, 466, -414)",-527.0,466.0,-414.0,-527.0,,466.0,-414.0
3525,realistic,3,xp0_75,utah,9.161000000000001,11.3,Aa,saline,96.48366739618844,11.3,,b,-1,0.08,soma,71.981330958,-1262.756820972363,949.9055985603412,-93.98090915222838,,-1263.0,949.7363252199347,-93.68984613257912,periphery,5.290000000000127,success,95.361328125,0.005,"(-1263, 134, -1)",-1263.0,134.0,-1.0,-1263.0,,134.0,-1.0
3526,realistic,3,xp0_75,utah,13.424,16.2,Aa,saline,10.450352529368857,16.2,,b,-1,0.08,soma,85.607689802,302.3253838621458,35.53203836414832,153.26781350882038,,302.0,35.163617465041426,153.06230107564363,none,0.0,success,105.0,0.005,"(302, -115, -661)",302.0,-115.0,-661.0,,,,
3527,realistic,3,xp0_75,utah,9.857,12.1,Aa,saline,3.5210046143297067,12.1,,b,-1,0.08,soma,74.206042606,-615.9782088171846,323.49487841080827,1404.7310564585625,,-616.0,323.47712550800424,1404.5410255625245,none,0.0,success,105.0,0.005,"(-616, 273, 584)",-616.0,273.0,584.0,,,,
3528,realistic,3,xp0_75,utah,13.511000000000001,16.3,Aa,saline,311.3277447442806,16.3,,b,-1,0.08,soma,85.885778758,-628.93275898472,-51.97726519097478,49.77815955607275,,-629.0,-51.70231563469133,49.77348414589176,none,0.0,success,105.0,0.005,"(-629, 570, -497)",-629.0,570.0,-497.0,,,,
3529,realistic,3,xp0_75,utah,10.64,13.0,Aa,saline,60.17531467437235,13.0,,b,-1,0.08,soma,76.70884321,-1624.2171580206368,340.42301095400904,212.62789708471428,,-1624.0,340.3422961844982,212.45415386416664,none,0.0,success,105.0,0.005,"(-1624, -374, -197)",-1624.0,-374.0,-197.0,,,,
3530,realistic,3,xp0_75,utah,8.987,11.1,Aa,saline,72.56014080522918,11.1,,b,-1,0.08,soma,71.42515304599999,555.7955912722745,1259.3264931443387,516.2667554690906,,556.0,1258.959798002942,515.9675591839432,periphery,5.175000000000109,success,47.3876953125,0.005,"(556, 476, 270)",556.0,476.0,270.0,556.0,,476.0,270.0
3531,realistic,3,xp0_75,utah,9.857,12.1,Aa,saline,300.50571080636405,12.1,,b,-1,0.08,soma,74.206042606,-1807.6467111542565,-109.91439612853355,57.99226500103259,,-1808.0,-110.32396315466497,58.299493613402944,periphery,5.230000000000118,success,61.23046875,0.005,"(-1808, 598, -359)",-1808.0,598.0,-359.0,-1808.0,,598.0,-359.0
3532,realistic,3,xp0_75,utah,10.553,12.9,Aa,saline,-21.036344550375507,12.9,,b,-1,0.08,soma,76.430754254,-1285.5287921743145,-509.6562846761327,1174.2200802160878,,-1286.0,-509.5343203885931,1174.3892330103422,none,0.0,success,105.0,0.005,"(-1286, -214, 406)",-1286.0,-214.0,406.0,,,,
3533,realistic,3,xp0_75,utah,12.293000000000001,14.9,Aa,saline,228.33139027255902,14.9,,b,-1,0.08,soma,81.99253337399999,481.6337272752544,-119.139863752112,-107.9846981522296,,482.0,-119.01921121518922,-108.12231809351772,periphery,5.190000000000111,success,105.0,0.005,"(482, 498, 441)",482.0,498.0,441.0,482.0,,498.0,441.0
3534,realistic,3,xp0_75,utah,9.683,11.9,Aa,saline,133.56290172093608,11.9,,b,-1,0.08,soma,73.649864694,-1199.8510544465598,906.057884769753,-1029.551122508758,,-1200.0,906.4943459786365,-1029.4017433735526,none,0.0,success,105.0,0.005,"(-1200, 311, -463)",-1200.0,311.0,-463.0,,,,
3535,realistic,3,xp0_75,utah,9.943999999999999,12.2,Aa,saline,189.8611891631289,12.2,,b,-1,0.08,soma,74.484131562,-983.5234439438844,-294.95921774829134,-1287.0138530225,,-984.0,-294.85006586828536,-1287.0728832074415,none,0.0,success,105.0,0.005,"(-984, -154, -477)",-984.0,-154.0,-477.0,,,,
3536,realistic,3,xp0_75,utah,16.642999999999997,19.9,Aa,saline,44.313045550089576,19.9,,b,-1,0.08,soma,95.89698117399999,-177.01488758558304,295.456138017802,400.7478891903334,,-177.0,295.8978155240783,400.9746450149986,none,0.0,success,105.0,0.005,"(-177, -286, -195)",-177.0,-286.0,-195.0,,,,
3537,realistic,3,xp0_75,utah,10.205,12.5,Aa,saline,53.56547959685293,12.5,,b,-1,0.08,soma,75.31839843,1123.4297384117026,289.24312149622534,197.0296935505676,,1123.0,288.8293257684676,196.57729841378858,none,0.0,success,105.0,0.005,"(1123, -373, -292)",1123.0,-373.0,-292.0,,,,
3538,realistic,3,xp0_75,utah,12.641,15.3,Aa,saline,137.08923681859218,15.3,,b,-1,0.08,soma,83.104889198,-1170.711949389158,166.40646838841076,-242.30880143971717,,-1171.0,166.79955952745922,-242.36701042430786,none,0.0,success,105.0,0.005,"(-1171, -396, 363)",-1171.0,-396.0,363.0,,,,
3539,realistic,3,xp0_75,utah,13.772000000000002,16.6,Aa,saline,22.422040626778607,16.6,,b,-1,0.08,soma,86.720045626,451.47583232894027,76.01061763147119,133.60499376387634,,451.0,75.93651270087832,133.73600508833738,none,0.0,success,105.0,0.005,"(451, -240, -632)",451.0,-240.0,-632.0,,,,
3540,realistic,3,xp0_75,utah,10.031,12.3,Aa,saline,108.69196535455194,12.3,,b,-1,0.08,soma,74.76222051799998,-51.57204625297851,1074.8615046565226,-330.4893887124017,,-52.0,1075.0416257483507,-330.57314583800957,periphery,5.265000000000123,success,65.0634765625,0.005,"(-52, 296, -67)",-52.0,296.0,-67.0,-52.0,,296.0,-67.0
3541,realistic,3,xp0_75,utah,14.816,17.8,Aa,saline,6.165013724632972,17.8,,b,-1,0.08,soma,90.05711309799999,-256.44973965352716,10.599770835282472,112.56839129380931,,-256.0,10.145066973362617,112.21439092101593,none,0.0,success,105.0,0.005,"(-256, -79, -713)",-256.0,-79.0,-713.0,,,,
3542,realistic,3,xp0_75,utah,12.206000000000001,14.8,Aa,saline,333.39102162026745,14.8,,b,-1,0.08,soma,81.714444418,1186.2762857536818,-427.9569435139765,831.7828789464943,,1186.0,-427.90144982741117,831.3989423770671,none,0.0,success,105.0,0.005,"(1186, -58, 93)",1186.0,-58.0,93.0,,,,
3543,realistic,3,xp0_75,utah,13.511000000000001,16.3,Aa,saline,48.10563924650616,16.3,,b,-1,0.08,soma,85.885778758,-1981.2440241976267,45.83597747604927,35.775340597238475,,-1981.0,46.32068685372769,35.900261527296266,none,0.0,success,105.0,0.005,"(-1981, -570, -517)",-1981.0,-570.0,-517.0,,,,
